game,id,hours,metascore,userscore,wilsonscore,sdbrating,userscore_count,release_date,win,mac,linux,steam deck,captions available,co-op,co-op any,commentary available,controller support any,cross-platform multiplayer,early access,family sharing,full controller support,geforce now,has_demo,hdr available,in-app purchases,includes level editor,includes source sdk
100% Orange Juice,282800,22.6,,93.0,93.0,91.0,13811.0,9/10/2013,x,,,x,,,x,,,,,x,,,,,,,
140,242820,,80.0,94.0,93.0,89.0,1913.0,10/16/2013,x,x,x,x,,,,,,,,x,,,,,,,
60 Parsecs!,646270,0.116666667,,89.0,88.0,85.0,2581.0,9/18/2018,x,x,,x,,,,,,,,x,,,,,,,
7 Days to Die,251570,7.166666667,,88.0,88.0,87.0,210422.0,12/13/2013,x,x,x,x,,,x,,,x,x,x,,x,,,,x,
8-Bit Bayonetta,567090,0.033333333,,86.0,84.0,82.0,1158.0,3/31/2017,x,,,,,,,,x,,,,,,,,,,
A Virus Named TOM,207650,9.116666667,65.0,72.0,62.0,66.0,62.0,8/1/2012,x,x,x,x,,,x,,,,,x,,,,,,,
ACE - Arena: Cyber Evolution,285580,0.616666667,,,,,2.0,8/18/2014,,,,,,,x,,,,x,x,,,,,,,
Ace of Spades: Battle Builder,224540,28.9,49.0,65.0,64.0,64.0,18414.0,,,,,,,,x,,,x,,x,,,,,,x,
Afterimage,1701520,,,80.0,79.0,78.0,3997.0,4/24/2023,x,,,x,,,,,,,,x,,,,,,,
Age of Chivalry,17510,3.183333333,,87.0,86.0,83.0,2338.0,12/1/2007,x,,,x,,,x,,,,,,,,,,,,
Age of Wonders III,226840,0.9,80.0,81.0,80.0,79.0,6749.0,3/31/2014,x,x,x,x,,,x,,,x,,x,,x,,,,x,
Alan Wake,108710,3.1,83.0,90.0,90.0,88.0,32547.0,2/16/2012,x,,,x,,,,,,,,x,,x,,,,,
Alan Wake's American Nightmare,202750,,73.0,71.0,70.0,69.0,5959.0,5/22/2012,x,,,x,,,,,,,,x,,x,,,,,
Amnesia: The Dark Descent,57300,8.133333333,85.0,95.0,95.0,93.0,17709.0,9/8/2010,x,x,x,x,x,,,x,,,,x,,x,,,,x,
Among Ripples,341720,0.05,,68.0,66.0,66.0,1437.0,1/22/2015,x,x,x,,,,,,,,,x,,,,,,,
Among Us,945360,35.21666667,85.0,92.0,92.0,91.0,599556.0,11/16/2018,x,,,x,,,x,,,x,,x,,x,,,,,
Anarchy Arcade,266430,0.283333333,,68.0,66.0,66.0,2225.0,9/3/2014,x,,,x,,,x,,,,x,,,,,,,x,
AppGameKit Classic: Easy Game Development,325180,,,80.0,75.0,74.0,198.0,11/21/2014,x,x,x,,,,,,,,,,,,,,,,
Arcade Paradise,1388870,,,89.0,87.0,84.0,842.0,8/11/2022,x,,,x,,,x,,,,,x,,,,,,,
ARK: Survival Evolved,346110,,70.0,83.0,83.0,82.0,515791.0,8/27/2017,x,x,,x,,,x,,,,,x,,x,,,,x,
ARK: The Survival Of The Fittest,407530,,,73.0,72.0,71.0,4382.0,8/29/2017,x,x,,,,,,,,,,x,,x,,,,x,
Armor of Heroes,1368440,,,58.0,52.0,56.0,213.0,10/15/2020,x,,,,,,x,,x,,,,x,,,,,,
Atlas Reactor,402570,1.133333333,81.0,83.0,82.0,81.0,5299.0,10/4/2016,,,,,,,x,,,,,x,,,,,x,,
Aveyond 3-1: Lord of Twilight,272010,,,77.0,69.0,70.0,84.0,2/7/2014,x,,,,,,,,,,,x,,,,,,,
Aviary Attorney,384630,,77.0,94.0,93.0,89.0,1007.0,12/21/2015,x,x,,,x,,,,,,,x,,,,,,,
Axis Game Factory's AGFPRO v3,253370,,,60.0,54.0,58.0,185.0,11/19/2013,x,x,x,,,,,,,,,,,,,,,x,
Baba Is You,736260,6.15,87.0,98.0,98.0,95.0,16740.0,3/13/2019,x,x,x,x,,,,,,,,x,,,,,,,
Babble Royale,1759440,0.383333333,,81.0,79.0,77.0,1010.0,12/15/2021,x,x,,x,,,,,,,x,,,,,,x,,
Balatro,2379780,22.65,90.0,97.0,97.0,95.0,27050.0,2/20/2024,x,x,,x,,,,,,,,x,,,,,,,
Baldur's Gate 3,1086940,102.0333333,96.0,96.0,96.0,95.0,531210.0,8/3/2023,x,x,,x,,,x,,,,,x,,,,,,,
Barony,371970,35.06666667,,92.0,91.0,89.0,5037.0,6/23/2015,x,x,x,x,,,x,,,x,,x,,,,,,x,
Bastion,107100,5.983333333,86.0,95.0,95.0,93.0,26921.0,8/16/2011,x,x,x,x,,,,,,,,x,,,,,,,
Batman™: Arkham Origins,209000,26.68333333,74.0,88.0,88.0,86.0,32711.0,10/24/2013,x,,,,,,,,,,,x,,,,,,,
Battle Nations,251670,0.1,,,,,,9/18/2014,x,,,,,,,,,x,,,,,,,,,
BattleBit Remastered,671860,12.48333333,,89.0,89.0,88.0,112300.0,6/15/2023,x,,,x,,,,,,,x,x,,,,,,,
BattleBlock Theater®,238460,11.86666667,85.0,97.0,97.0,95.0,53260.0,5/15/2014,x,x,x,x,,,x,,,,,x,,,,,,x,
Battleborn,394230,5.316666667,69.0,62.0,61.0,61.0,9736.0,5/3/2016,,,,,,,x,,,,,x,,,,,,,
Battlerite,504370,2.333333333,85.0,84.0,84.0,83.0,59293.0,11/8/2017,x,,,x,,,,,,,,,,,,,x,,
Battlerite Public Test,427460,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayonetta,460790,16.63333333,90.0,92.0,92.0,90.0,22258.0,4/11/2017,x,,,x,,,,,,,,x,,,,,,,
